,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,function_check,boolean_check,if_else_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
86,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-01-28 22:53:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,I was working on assignments and/or projects for another course,Other",Other,"Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,8+,Yes,I am up-to-date,Delicious,No,I completely understand,I completely understand,I completely understand,no,1010373114.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,delicious,2.7,1.0
87,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320276, 320111, 320239","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-01-28 22:49:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Comfortable,,I completely understand,I somewhat understand,I completely understand,,1010007813.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,comfortable,2.3,3.0
88,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-01-28 22:35:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,"Intrigued

 ",,I somewhat understand,I completely understand,I completely understand,,1010209258.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,"intrigued

 ",0.0,3.0
89,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-01-28 22:31:51 UTC,I did not attend any lectures this week,The lecture room is not conducive to learning,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,good,,I completely understand,I completely understand,I completely understand,none,1010184523.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,good,1.9,0.0
90,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-01-28 22:26:39 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am up-to-date,Interested,,I completely understand,I somewhat understand,I completely understand,,1010277175.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,interested,1.7,3.0
91,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-28 22:20:46 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Comfortable,Definitions,I completely understand,I somewhat understand,I completely understand,The lectures are engaging but redundant.,1010138414.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,comfortable,2.3,2.0
92,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-28 22:16:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was studying for a term test for another course,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,great,nothing currenlty,I completely understand,I completely understand,I completely understand,going great,,,,,,LEC0101,False,False,False,great,3.1,3.0
93,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-01-28 22:08:26 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,good,,I completely understand,I somewhat understand,I completely understand,,1010022958.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
94,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-01-28 22:05:39 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,I was working on assignments and/or projects for another course,"Minori (TUT0107\, Monday\, 2 - 3 pm)",,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am up-to-date,Busy,,I completely understand,I completely understand,I completely understand,,1010102899.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,busy,0.0,3.0
95,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241","320315, 320129, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241",2024-01-28 22:02:54 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",2-4 hours,No,I am starting to fall behind,I felt good about the content and lab 1. ,I'm a little confused on how to start if and elif statements. ,I somewhat understand,I completely understand,I somewhat understand,,1010482274.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,i felt good about the content and lab 1  ,1.9,3.0
96,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241","320129, 320262, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241",2024-01-28 21:58:27 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,Other,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Alright,There are none.,I somewhat understand,I somewhat understand,I completely understand,,1009834609.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,alright,1.0,1.0
97,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-28 21:58:09 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was working on assignments for this course,The lecture room is not conducive to learning",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities,I was working on assignments for this course","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",4-8 hours,No,I am starting to fall behind,Okay,Not really,I completely understand,I somewhat understand,I somewhat understand,:),1010260600.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,okay,0.9,3.0
98,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-28 21:56:40 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was working on assignments for this course,I prefer the room of the lectures in another section(s),I was studying for a term test for this course,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",2-4 hours,Yes,I am up-to-date,"good

 ",,I completely understand,I completely understand,I completely understand,,1009852571.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,"good

 ",0.0,3.0
99,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-01-28 21:44:56 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for another course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Solid,,I completely understand,I completely understand,I completely understand,,1009854356.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,solid,0.6,3.0
100,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-28 21:44:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,I prefer the room of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm",Less than 2 hour,No,I am up-to-date,,,I completely understand,I somewhat understand,I completely understand,,1010125972.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,nan,0.0,2.0
101,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-01-28 21:36:39 UTC,,The lectures are not an effective learning tool for me,,,"Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,Yes,I am up-to-date,great,.,I completely understand,I completely understand,I completely understand,.,1009083509.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,LEC0102,LEC0103,True,great,3.1,0.0
102,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-28 21:33:09 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for this course,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Nested loop,,I completely understand,I completely understand,I completely understand,,1008806160.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,nested loop,0.0,3.0
103,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-28 21:27:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Other","Katia (TUT0108\, Tuesday\, 9 - 10 am)",,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,easy,Null,I completely understand,I completely understand,I completely understand,Null,1009909789.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,easy,1.9,3.0
104,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-01-28 21:25:21 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am starting to fall behind,Hard,Struggling with problem solving questions.,I somewhat understand,I somewhat understand,I somewhat understand,,1010732780.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,hard,-0.4,3.0
105,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0105-20241","320129, 320224, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0105-20241",2024-01-28 21:21:22 UTC,,The lectures are not an effective learning tool for me,,,I did not attend any tutorials this week,LEC0102 - Moosavi Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,No,I have fallen behind,"tired

 ","Functions, boolean

 ",I somewhat understand,I somewhat understand,I completely understand,,1009820936.0,LEC0102,TUT0105,PRA0102,Mechanical,LEC0101,LEC0102,LEC0103,True,"tired

 ",0.0,0.0
106,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-28 21:18:36 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,Other,"I was working on assignments for this course,I was working on assignments and/or projects for another course,Other",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I am up-to-date,semi-confident,functions (still trying to figure out all the specifics),I completely understand,I completely understand,I completely understand,go over what we can expect for term tests/exams,1010146806.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,semi confident,2.2,2.0
107,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-28 21:18:15 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Nervous,boolean operators,I completely understand,I do not understand,I completely understand,Teaching team is very good!,1008801343.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nervous,-1.1,2.0
108,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-28 21:18:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I have fallen behind,behind,"if statements, boolean values",I do not understand,I do not understand,I do not understand,I think it would be better if we went slower when going over in-class coding problems. Sometimes I find it very hard to both listen and try the code on my own.,1010161343.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,behind,0.0,3.0
109,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-01-28 21:05:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,Great,I still must go over defining functions and making my code more efficient.,I completely understand,I somewhat understand,I completely understand,Fun course. Professor Ben Kinsella is great.,1010053718.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,great,3.1,3.0
110,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-28 20:58:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Excited,imports,I completely understand,I somewhat understand,I completely understand,I do not have any feedback as of right now.,1010410271.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,excited,1.4,1.0
111,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-01-28 20:39:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",Other,Other,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I have fallen behind,Review functions. ,"Functions, , print vs return",I somewhat understand,I somewhat understand,I somewhat understand,,1010069131.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,review functions  ,0.0,3.0
112,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-01-28 20:35:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,No,I am up-to-date,Fun,None so far.,I completely understand,I completely understand,I completely understand,"So far, I think the APS106 teaching team has been doing a good job. It would be nice to see more TAs/Profs go around and talking to people, despite not having any question. It just seems like a nice gesture to see if they are doing well or maybe they might have a question and are just afraid to ask. ",1010205822.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,fun,2.3,3.0
113,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-01-28 20:29:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,I prefer the teaching style in another section(s),Coding along with the instructor on my device,"Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,fun,rock paper sissors spock,I somewhat understand,I somewhat understand,I somewhat understand,rock paper sissors spock was a little confusing,1009984304.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,fun,2.3,3.0
114,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-01-28 20:22:55 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",The lectures are not an effective learning tool for me,,Distracted with non-academic activities,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,4-8 hours,No,I am up-to-date,It was pretty good. ,None at the moment ,I completely understand,I somewhat understand,I completely understand,I am finding the course pretty doable,1010242131.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,it was pretty good  ,4.1,3.0
115,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-28 20:16:15 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,Yes,I have fallen behind,intimidated ," relational operators, logical operators  ",I somewhat understand,I somewhat understand,I completely understand,fell behind because I was sick :(,1010243808.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,intimidated ,0.0,1.0
