,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,module_check,functions_check,returns_print_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
105,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-21 20:44:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0101\, Thursday\, 10 - 12 pm",Less than 2 hour,Yes,I am starting to fall behind,Good,,I somewhat understand,I completely understand,I somewhat understand,,1010153888.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,good,1.9,3.0
106,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-01-21 20:38:15 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Ready ,"Purpose of functions, syntax vs. Semantics, return vs. Print",I completely understand,I somewhat understand,I somewhat understand,,1010164135.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,ready ,0.0,3.0
107,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-01-21 20:33:42 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am up-to-date,enthusiastic,"Functions, define and return",I completely understand,I somewhat understand,I completely understand,"Going through this week lectures, I feel coding is so interesting that I want to keeping learning.",1009937534.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,enthusiastic,2.2,3.0
108,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-01-21 20:30:32 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",2-4 hours,Yes,I am starting to fall behind,Ready,local and global scope,I somewhat understand,I somewhat understand,I somewhat understand,This week's design problem was an interesting one.,1009926387.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,ready,1.5,3.0
109,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-01-21 20:30:11 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm),Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Good,None ,I completely understand,I completely understand,I completely understand,Class is going very well ,1010412689.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,good,1.9,3.0
110,"APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320294, 320111, 320231","APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-01-21 20:28:56 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,better,def function,I somewhat understand,I somewhat understand,I somewhat understand,Mr.Kinsella was very helpful in helping me during lecture when he was walking around.,1010051578.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,better,1.9,3.0
111,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-01-21 20:18:02 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Excited,So far there hasn't been anything confusing.,I completely understand,I completely understand,I completely understand,"I wish there was a little more time with the breakout sessions. I find it that if I am trying to figure something out or try something new, a little more time would be useful as it can help with debugging or fixing something we have written incorrectly in the code.",1010205822.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,excited,1.4,3.0
112,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-01-21 19:58:57 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Excited,Formatting of good code,I completely understand,I completely understand,I completely understand,,1009976830.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,excited,1.4,3.0
113,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-01-21 19:50:57 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Great ,"variables, expressions ",I somewhat understand,I somewhat understand,I somewhat understand,"It is a very interesting course, and I am really excited to learn more about Python. ",1010619369.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,great ,0.0,3.0
114,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-01-21 19:42:39 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Interested.,I am not confused about any topics so far since I have learned them before.,I completely understand,I completely understand,I completely understand,I think it is better to learn conditional statements before functions.,1010174570.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,interested ,1.7,3.0
115,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-21 19:26:35 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",,I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am starting to fall behind,"On track

 ",Define and return …,I somewhat understand,I somewhat understand,I completely understand,,1010308686.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,"on track

 ",0.0,3.0
116,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-01-21 19:26:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments for this course,Other,"Trying to solve the breakout problems,Distracted with non-academic activities,I was working on assignments for this course","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,No,I am up-to-date,Comfortable,Functions!!!,I somewhat understand,I do not understand,I do not understand,nothing yet! ,1010517424.0,LEC0101,TUT0102,PRA0102,Track-One,LEC0101,False,False,True,comfortable,2.3,3.0
117,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-21 19:22:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Enthusiastic,None.,I completely understand,I completely understand,I completely understand,,1009896052.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,enthusiastic,2.2,2.0
118,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-01-21 19:20:10 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,better,defining functions,I completely understand,I do not understand,I somewhat understand,,1010580809.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,better,1.9,3.0
119,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-21 19:12:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am),Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,Comfortable,"parameters, return.",I completely understand,I somewhat understand,I somewhat understand,Demonstrating confusing ideas can help me learn better.,1008788830.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,comfortable,2.3,3.0
120,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241","320111, 320294, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241",2024-01-21 19:00:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities,I was working on assignments and/or projects for another course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0101\, Thursday\, 10 - 12 pm",2-4 hours,No,I am up-to-date,Confusing,Definitions,I somewhat understand,I do not understand,I somewhat understand,,1009830649.0,LEC0101,TUT0103,PRA0101,Civil,LEC0101,False,False,True,confusing,-0.9,3.0
121,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-21 18:40:32 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,Other,Coding along with the instructor on my device,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,Yes,I am starting to fall behind,"Interested

 ",Input functions,I completely understand,I somewhat understand,I do not understand,Nothing this week,1010091231.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,"interested

 ",0.0,2.0
122,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-21 18:30:35 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I have fallen behind,I think more time could be spent in the tutorials to practice wiriting codes on pen and paper with exam-style questions. ,"Functions 

how the prompts for maximum / minimum functions work",I somewhat understand,I somewhat understand,I somewhat understand,The lectures could be more interactive with more practice problems. ,1010024297.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,i think more time could be spent in the tutorials to practice wiriting codes on pen and paper with exam style questions  ,0.0,3.0
123,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-01-21 18:13:26 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Confident,,I completely understand,I completely understand,I completely understand,,1010130895.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,confident,2.2,3.0
124,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-21 18:11:04 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,Yes,I am up-to-date,Good,,I completely understand,I completely understand,I completely understand,,1010069079.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,good,1.9,3.0
125,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-21 18:10:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was working on assignments and/or projects for another course,Other",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Excited,when to use a function as opposed to simply writing out lines of code,I completely understand,I completely understand,I completely understand,"Professors Kinsella and Goodfellow do an amazing job at teaching relevant course material. They take their time to explain the language even for those who haven't had much coding experience prior to this course. I appreciate how they give us time to try in-class problems ourselves before taking it up, and how they teach us to visualize code as logical arguments. Overall, I am very much looking forward to developing my computer programming skills that will hopefully prove to be useful for my career.",1010143792.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,excited,1.4,3.0
126,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0102-20241","320239, 320129, 320285","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0102-20241",2024-01-21 18:09:20 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Okay,"design problems, math modules ",I somewhat understand,I somewhat understand,I completely understand,.,1010295832.0,LEC0102,TUT0102,PRA0107,Mechanical,False,LEC0102,False,True,okay,0.9,3.0
127,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241","320315, 320129, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241",2024-01-21 18:05:33 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,No,I am starting to fall behind,Not bad,,I somewhat understand,I somewhat understand,I completely understand,Sometimes using Jupyter Notebook is a bit overwhelming since there is so much going on. The tutorials are really helpful because they summarize everything we've covered up to date and quiz us so the information is stuck in your head.,1010209007.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,not bad,-2.5,3.0
128,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-21 18:02:05 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",2-4 hours,No,I am starting to fall behind,confused,using functions,I somewhat understand,I somewhat understand,I somewhat understand,,1010345208.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confused,-1.3,3.0
129,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-01-21 17:59:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)","LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 - Katia Tutorial Recording","PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am starting to fall behind,Motivated ,"I am struggling with writing functions, but more like implementing them with practice problems, which can be solved by solving more and more practice problems.",I somewhat understand,I completely understand,I somewhat understand,"I do not have any other feedback, I really like and enjoy this course ",1008782783.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,motivated ,0.0,2.0
130,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0105-20241","320149, 320294, 320246","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0105-20241",2024-01-21 17:50:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,comfortable,print vs return,I completely understand,I completely understand,I somewhat understand,,1010207081.0,LEC0103,TUT0103,PRA0105,Track-One,LEC0101,False,LEC0103,True,comfortable,2.3,3.0
131,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-01-21 17:33:44 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)","LEC0101 - Kinsella & Goodfellow Lecture Recording,LEC0103 - Beck Lecture Recording","PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am starting to fall behind,Exciting ,,I somewhat understand,I somewhat understand,I somewhat understand,I’m starting to like coding now.,1010732780.0,LEC0101,TUT0104,PRA0104,Civil,False,False,LEC0103,False,exciting ,0.0,2.0
