,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,midterm_prepare,midterm_surprise,string_methods_check,string_indexing_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
58,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-12 03:26:54 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Discouraged,,"Textbook

Jupyter notebook

Notes

Presentation slides

Past papers",Fibonnaci and Taylor series questions,I somewhat understand,I somewhat understand,,1009959289.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,discouraged,-1.7,3.0
59,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-02-12 03:11:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Katia (TUT0104\, Monday\, 10 - 11 am),Katia (TUT0108\, Tuesday\, 9 - 10 am),Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",,,No,I am starting to fall behind,mid,strings,practice problems,Fibonacci sequence,I somewhat understand,I somewhat understand,,1010053718.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,mid,0.0,3.0
60,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-02-12 03:01:16 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",I was studying for a term test for this course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was studying for a term test for this course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Stressed,,"I used my textbook, tutorial recordings, and GEARS. The tutorial recordings were the most helpful.",Taylor Series,I completely understand,I do not understand,,1010256170.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,stressed,-1.4,2.0
61,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241","320129, 320307, 320246","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241",2024-02-12 02:58:10 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was studying for a term test for this course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Anxious,while loops,i reviewed all the notebooks and zybooks also past papers. i think past papers were the most helpful,"I'm struggled to understand while loops and suddenly, while loops dominated the term test :""DDDD",I somewhat understand,I somewhat understand,Great,1010179815.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,anxious,-1.0,2.0
62,"APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320299, 320111, 320239","APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-02-12 02:47:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Yes,I am up-to-date,Refreshed,,Tutorials nad practice problems,No,I somewhat understand,I somewhat understand,,1010291550.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,LEC0103,True,refreshed,0.0,3.0
63,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-02-12 02:45:41 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,"I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s)","Coding along with the instructor on my device,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,fine,nothing ,I practiced past exams,no,I completely understand,I completely understand,,1009897649.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,LEC0103,False,fine,0.8,3.0
64,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-12 02:35:23 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Bad.,Everything from last week.,"Lecture slides, online videos, practice problems.","Yes both of the last questions I found that the hardest part was not the coding itself, but the understanding of the question. ",I somewhat understand,I somewhat understand,Please make term tests easier.,1009817030.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,bad ,-2.5,3.0
65,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241","320315, 320129, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241",2024-02-12 02:34:32 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",No,I am starting to fall behind,Anxious,,I found tutorial slides and the review video to be very helpful. I also practiced by going through past year term tests. ,I was surprised they would include both the fibonacci sequence and taylor series. Answering the question required slightly more than a basic understanding of these patterns so people who have seen these patterns before may have had a slight advantage.,I somewhat understand,I somewhat understand,no comment.,1010560527.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,anxious,-1.0,3.0
66,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-12 02:33:16 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was studying for a term test for another course,I prefer the room of the lectures in another section(s),Distracted with non-academic activities,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",No,I am up-to-date,。,。,。,。,I somewhat understand,I somewhat understand,"。

 

 ",1009951483.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,。,0.0,1.0
67,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-02-12 02:31:17 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Stressed,String methods ,Past exams ,The fibonacci question ,I do not understand,I do not understand,,1009253941.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,stressed,-1.4,3.0
68,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0104-20241","320323, 320129, 320239","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0104-20241",2024-02-12 02:13:44 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course",I prefer the scheduling of the lectures in another section(s),"Distracted with non-academic activities,I was studying for a term test for this course","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm,PRA0110 (Online)\, Friday\, 6 - 8 pm",No,I have fallen behind,Good,,I used resources available on Canvas. ,"Yes, the questions were difficult than last year. ",I do not understand,I somewhat understand,,1009824068.0,LEC0102,TUT0107,PRA0107,Industrial,False,LEC0102,LEC0103,True,good,1.9,3.0
69,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-02-12 02:08:35 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,"Stressed.

 ",Objects and methods. ,Past term test and weekly practice problems.,The complexity of the long answer questions compared to past term tests.,I somewhat understand,I somewhat understand,Nothing more at the moment :),1010260735.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,"stressed 

 ",-1.4,3.0
70,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0107-20241","320262, 320111, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0107-20241",2024-02-12 02:03:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,excited,,I used the notebook,,I somewhat understand,I somewhat understand,,1009826217.0,LEC0101,TUT0107,PRA0107,Industrial,False,False,LEC0103,False,excited,1.4,3.0
71,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241","320315, 320129, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241",2024-02-12 02:01:33 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was studying for a term test for this course,I was studying for a term test for another course,Other",,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Ok,,I practiced past midterms,"Lots of while loops. Their presence wasn’t the surprise, but rather how many of them there were.",I somewhat understand,I somewhat understand,,1010574852.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,ok,1.4,1.0
72,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-02-12 01:56:43 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Fine,,Past tests,No,I completely understand,I completely understand,,1010365622.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,fine,0.8,1.0
73,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-12 01:52:16 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,I prefer the scheduling of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0106\, Friday\, 3 - 5 pm",No,I am up-to-date,Sad,Nothing,Textbook,Ye math …,I completely understand,I completely understand,Nothing,1010277558.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,sad,-2.1,1.0
74,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-02-12 01:47:14 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Fun,,Slides ,"Factorial of 0 is 1, I thought it was just a constant.",I somewhat understand,I somewhat understand,,1010215107.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,fun,2.3,3.0
75,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-12 01:27:33 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)","I was studying for a term test for this course,I was studying for a term test for another course,I was working on assignments for this course","I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities","Minori (TUT0107\, Monday\, 2 - 3 pm),Rachel (TUT0106\, Tuesday\, 4 - 5 pm),Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",No,I am up-to-date,Yeah,No,Didn't prepare,No,I completely understand,I completely understand,Na,1010256027.0,LEC0101,TUT0103,PRA0103,Civil,False,LEC0102,LEC0103,False,yeah,1.2,4.0
76,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-02-12 01:24:07 UTC,I did not attend any lectures this week,I was studying for a term test for another course,Other,I was studying for a term test for this course,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,WIN,Loops can be very confusing,"I did all the practice problems, read some chapters from the textbook, and found some questions online. Also I did four years past term tests.",I like how coding is serving for math. Love it.,I completely understand,I completely understand,More practice problems will be helpful.,1010078540.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,win,2.8,0.0
77,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-12 01:06:22 UTC,I did not attend any lectures this week,"I was studying for a term test for this course,I was studying for a term test for another course,I was working on assignments for this course,I was working on assignments and/or projects for another course",Other,Other,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Challenged,I am okay for the most part but I struggle with when they ask whether functions equate like turning a true/false function into a not Boolean function. Additionally I have a hard time creating or understanding mathematical algorithms like checking primality or creating a system for the Fibonacci sequence and Taylor series. I found those challenging because it’s like as if we had to invent those functions in the exam setting which is quite challenging.,"I did past paper tests and asked my friends for help. Additionally, I found the term test review on zoom helpful.",having us invent or try to build up functions for Taylor series and Fibonacci is quite difficult and I felt very challenged through that process.,I do not understand,I do not understand,Not much feedback but I like the tutorials. The “quizlet” game is really simple but helpful to keep everyone on track. :),1010014155.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,challenged,-0.4,0.0
78,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241","320231, 320111, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241",2024-02-12 01:05:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Confident ,Nothing ,Studied with past exams and practice sets. ,the amount of use for while loops. ,I somewhat understand,I somewhat understand,Nothing! I’m really enjoying it. ,1010461411.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,confident ,0.0,3.0
79,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320239, 320111, 320276","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-12 01:04:53 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Complex,File opening,"In order:

Past midterms, tutorial slides, solo practicing.",Maybe just the Taylor Series at first. Sort of blind sided me.,I somewhat understand,I completely understand,Nil.,1009928170.0,LEC0101,,PRA0104,Civil,LEC0101,False,False,True,complex,0.0,3.0
80,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-12 01:03:57 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Interesting,,"Past term tests, tutorial slides, course slides, the course review slides were the most helpful ",no ,I somewhat understand,I do not understand,,1009970907.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,interesting,1.7,2.0
81,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-12 00:49:06 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for this course,Other,"Following the lecture by looking at the content and listening to the instructor,Other","Rachel (TUT0103\, Wednesday\, 2 - 3 pm),Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Yes,I have fallen behind,Okay,,"Past papers

notes were helpful ",Yes the last 2 questions,I somewhat understand,I somewhat understand,,1010412689.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,okay,0.9,3.0
82,"APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320294, 320111, 320231","APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-02-12 00:46:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Inspired,,I looked at past midterms and did some of the problems.,No,I somewhat understand,I somewhat understand,,1009978437.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,inspired,2.2,3.0
83,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-02-12 00:46:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,I prefer the scheduling of the lectures in another section(s),Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Shaken,String Mutation,Practice Problems,Taylors Series,I do not understand,I do not understand,,1010083035.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,shaken,-0.3,1.0
84,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-12 00:44:36 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm),Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,,,,Fibonacci Question was too difficult ,I do not understand,I do not understand,,1010209258.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nan,0.0,3.0
85,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-12 00:42:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",,,Yes,I am up-to-date,Better,Nothing,I used the tutorial slides and my notes ,Coding by hand is kind of hard,I somewhat understand,I somewhat understand,Nothing,1010452706.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,better,1.9,3.0
