,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,video_materials,practice_problems,progress_check,comment_one_word,confused_topics,previous_exp,aps106_future_use,coding_future,python_setup,languages,variable_check,expression_check,operator_check,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
136,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-14 18:15:07 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,optimistic,none,I can write code at an intermediate level,3,Yes,Yes,"Python,C/C++,Java,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1009961677.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,optimistic,1.3,3.0
137,"APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241","320270, 320328, 320149","APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241",2024-01-14 17:56:20 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,LEC0103 - Beck Lecture Recording,Yes,I am up-to-date,decent,jupyter notebook,I have never written a single line of computer code,3,Not sure,Yes,Other,I somewhat understand,I somewhat understand,I somewhat understand,1010077006.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,decent,0.0,3.0
138,"APS106H1-S-TUT0103-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0103-20241","320294, 320246, 320149","APS106H1-S-TUT0103-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0103-20241",2024-01-14 17:56:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am up-to-date,prepared,,I can write some code but just the basics,3,Yes,Yes,Matlab,I completely understand,I completely understand,I completely understand,1010207081.0,LEC0103,TUT0103,PRA0105,Track-One,False,False,LEC0103,True,prepared,0.9,3.0
139,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-14 17:42:55 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course",LEC0101 - Kinsella & Goodfellow Lecture Recording,No,I am up-to-date,Good!,I do not feel that I am struggling with any topic just yet. ,I can write code at an intermediate level,5 (Always),Yes,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1009978552.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,good ,1.9,3.0
140,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-01-14 17:20:28 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments and/or projects for another course",None,Yes,I am up-to-date,Ready to code,None,I can write code at an intermediate level,3,Yes,Yes,"Python,C/C++,Java,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1010046781.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,ready to code,1.5,3.0
141,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-14 17:19:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Hopeful,Nothing at this point I don't think,I can write some code but just the basics,2,No,Yes,Java,I somewhat understand,I somewhat understand,I somewhat understand,1010160317.0,LEC0101,TUT0102,PRA0102,Track-One,LEC0101,False,False,True,hopeful,2.3,3.0
142,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241","320111, 320276, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241",2024-01-14 17:16:11 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments for this course",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Excited,none so far,I can write some code but just the basics,5 (Always),Yes,Yes,Matlab,I completely understand,I completely understand,I completely understand,1010061745.0,LEC0101,TUT0101,PRA0103,Track-One,LEC0101,False,False,True,excited,1.4,3.0
143,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-01-14 17:14:25 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,No,I am starting to fall behind,"Im ok, but my laptop is not working with Anaconda, so its kinda hard for me to follow along.",the installation of Anaconda,I have never written a single line of computer code,5 (Always),Not sure,No,Other,I completely understand,I completely understand,I somewhat understand,1010288216.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,im ok  but my laptop is not working with anaconda  so its kinda hard for me to follow along ,0.9999999999999999,3.0
144,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-14 17:13:20 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am starting to fall behind,Exciting,Jupiter notebooks,I have never written a single line of computer code,3,Yes,Yes,"Matlab,C/C++",I somewhat understand,I somewhat understand,I somewhat understand,1010229986.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,exciting,2.2,3.0
145,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-01-14 16:54:03 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am up-to-date,familiar,jupyter notebooks,I can write some code but just the basics,4,Yes,Haven't tried,"Matlab,C/C++,HTML/CSS",I completely understand,I somewhat understand,I somewhat understand,1010288145.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,familiar,0.0,3.0
146,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-14 16:52:09 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,Distracted with non-academic activities,None,No,I am starting to fall behind,curious,,I have never written a single line of computer code,3,Yes,Yes,"Matlab,HTML/CSS",I somewhat understand,I somewhat understand,I somewhat understand,1009852571.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,curious,1.3,3.0
147,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-01-14 16:41:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am starting to fall behind,Overwhelmed,"Just coding in general, and difficulty installing the programs",I have never written a single line of computer code,1 (Never),No,Yes,Other,I somewhat understand,I do not understand,I somewhat understand,1010156251.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,overwhelmed,0.2,2.0
148,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-01-14 16:20:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture room is not conducive to learning,"I prefer the teaching style in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,Decent,jupyter notebooks,I can write some code but just the basics,4,Yes,Yes,"Matlab,Java,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1009807951.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,False,False,False,decent,0.0,3.0
149,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-01-14 16:19:09 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course",,Yes,I am up-to-date,New,,I can write some code but just the basics,4,Yes,Yes,HTML/CSS,I somewhat understand,I somewhat understand,I somewhat understand,1010401762.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,new,0.0,3.0
150,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-01-14 16:16:04 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","LEC0103 - Beck Lecture Recording,TUT - Tutorial Recording",Yes,I am up-to-date,Rewarding,loop,I can write some code but just the basics,4,Yes,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1009919313.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,rewarding,2.4,3.0
151,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320285, 320168, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-14 16:07:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,Yes,I am up-to-date,"I am excited;

I feel as though as long as I stay consistent with my studies and practice I will be able to not fall behind and be able to  apply it to my future work in the field.",Probably developing a pseudo code in the right order (but this again will just come with practice).,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab",I somewhat understand,I somewhat understand,I somewhat understand,1010009660.0,LEC0101,TUT0102,PRA0101,Chemical,LEC0101,False,False,True,"i am excited 

i feel as though as long as i stay consistent with my studies and practice i will be able to not fall behind and be able to  apply it to my future work in the field ",1.4,3.0
152,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-14 16:00:42 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Distracted with non-academic activities",None,Yes,I have fallen behind,optimistic ,installing python,I have never written a single line of computer code,4,Not sure,No,Matlab,I somewhat understand,I somewhat understand,I somewhat understand,1008771170.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,optimistic ,0.0,2.0
153,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-01-14 16:00:38 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am starting to fall behind,Shaky,"installing pycharm, installing jupyter/jupyter notebooks",I can write some code but just the basics,3,Yes,Haven't tried,"Python,Matlab,Java",I completely understand,I somewhat understand,I somewhat understand,1010452706.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,shaky,-0.9,3.0
154,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-01-14 15:49:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course",None,Yes,I am starting to fall behind,Confused,"Installing python, actually beginning to code",I have never written a single line of computer code,3,Yes,Yes,Other,I somewhat understand,I somewhat understand,I completely understand,1009886456.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,confused,-1.3,3.0
155,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-14 15:44:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,No,I am up-to-date,Relaxed,The topics so far have been quite simple.,I can write some code but just the basics,2,Not sure,Yes,,I completely understand,I completely understand,I completely understand,1010672835.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,relaxed,2.2,3.0
156,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-14 15:40:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course",None,No,I am starting to fall behind,Curious,,I can write some code but just the basics,3,No,Yes,Python,I somewhat understand,I somewhat understand,I somewhat understand,1010212789.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,curious,1.3,3.0
157,"APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320294, 320111, 320231","APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-01-14 15:34:37 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,No,I am starting to fall behind,Good,Installing python,I can write some code but just the basics,4,Yes,No,Matlab,I do not understand,I somewhat understand,I do not understand,1010347359.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,good,1.9,2.0
158,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-01-14 14:59:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities",None,Yes,I am up-to-date,I feel like my half foot is step into the door frame of coding world,I am fine ,I have never written a single line of computer code,4,Yes,Yes,Matlab,I completely understand,I completely understand,I somewhat understand,1010082009.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,i feel like my half foot is step into the door frame of coding world,1.5,3.0
159,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-01-14 14:40:55 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","LEC0101 - Kinsella & Goodfellow Lecture Recording,LEC0103 - Beck Lecture Recording,TUT - Tutorial Recording",No,I am starting to fall behind,Confused ,Jupyter notebooks,I have never written a single line of computer code,5 (Always),Yes,Yes,Python,I completely understand,I somewhat understand,I somewhat understand,1010077220.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,confused ,0.0,3.0
160,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-14 14:16:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT - Tutorial Recording",Yes,I am up-to-date,Enthused. ,installing anaconda in a drive that does not take up too much storage.,I have never written a single line of computer code,4,Yes,Yes,Matlab,I completely understand,I completely understand,I completely understand,1009969875.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,enthused  ,2.0,3.0
161,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241","320315, 320129, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241",2024-01-14 14:08:14 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",LEC0102 - Moosavi Lecture Recording,Yes,I am up-to-date,interesting ,-,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,HTML/CSS",I completely understand,I completely understand,I completely understand,1009560707.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,interesting ,0.0,3.0
162,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241","320328, 320270, 320149","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241",2024-01-14 13:53:07 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",LEC0103 - Beck Lecture Recording,Yes,I am up-to-date,Good,memory location,I can write code at an intermediate level,5 (Always),Yes,Yes,"Python,Matlab",I completely understand,I completely understand,I completely understand,1009950019.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,good,1.9,3.0
163,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-01-14 07:57:36 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",I was working on assignments for this course,I prefer the room of the lectures in another section(s),Trying to solve the breakout problems,LEC0103 - Beck Lecture Recording,No,I am up-to-date,"I think my prof

is very great and go to lecture really helps me learning",no,I can write some code but just the basics,3,Not sure,Yes,"C/C++,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1009887990.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,"i think my prof

is very great and go to lecture really helps me learning",4.7,3.0
164,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-01-14 07:46:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",LEC0102 - Moosavi Lecture Recording,Yes,I am starting to fall behind,Curious,using pycharm and jupyter,I have never written a single line of computer code,5 (Always),Yes,Yes,,I completely understand,I somewhat understand,I somewhat understand,1009525453.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,curious,1.3,2.0
165,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-01-14 06:24:44 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,Yes,I am up-to-date,Excited!,None so far,I can write some code but just the basics,5 (Always),Not sure,Yes,"Matlab,Java,Javascript",I completely understand,I completely understand,I completely understand,1010177434.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,excited ,1.4,3.0
