,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,midterm_review,function_return_check,while_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
60,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320328, 320111, 320231","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-02-05 01:20:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I am starting to fall behind,Alright,boolean values,Not prepared at all,I completely understand,I completely understand,The breakout sessions are really helpful as I am able to apply what I learned from the lecture in practice. ,1010160932.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,alright,1.0,3.0
61,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320276, 320111, 320231","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-02-05 01:19:26 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments for this course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,midterms,,Somewhat prepared,I completely understand,I completely understand,,1010066152.0,LEC0101,TUT0101,PRA0103,Mechanical,LEC0101,False,False,True,midterms,0.0,3.0
62,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-05 01:18:33 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)","The lectures are not an effective learning tool for me,The lecture room is not conducive to learning",Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Sad,print vs return,Somewhat prepared,I somewhat understand,I somewhat understand,Sometimes prof goes WAYYYYY too fast,1010277558.0,LEC0101,TUT0103,PRA0103,Civil,False,False,LEC0103,False,sad,-2.1,1.0
63,"APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241","320328, 320231, 320111","APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241",2024-02-05 01:14:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,Fine,,Very prepared,I completely understand,I completely understand,,1010161110.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,fine,0.8,3.0
64,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-05 01:10:27 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Good. ,No. ,Very prepared,I completely understand,I completely understand,Good. ,1010078951.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good  ,1.9,3.0
65,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-02-05 01:09:11 UTC,I did not attend any lectures this week,The lecture room is not conducive to learning,Other,I was working on assignments and/or projects for another course,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,Good,,Somewhat prepared,I completely understand,I completely understand,,1010546385.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,good,1.9,0.0
66,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-02-05 01:02:02 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,good,print and return,Somewhat prepared,I somewhat understand,I somewhat understand,,1010022958.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
67,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-02-05 00:56:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Interested,While statements and loops,Somewhat prepared,I completely understand,I somewhat understand,,1009910946.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,interested,1.7,3.0
68,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0107-20241","320149, 320231, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0107-20241",2024-02-05 00:54:20 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,,,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Fine,,Somewhat prepared,I do not understand,I do not understand,,1009513698.0,LEC0103,TUT0107,PRA0103,Mechanical,False,False,LEC0103,True,fine,0.8,2.0
69,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-05 00:46:11 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,good,while loop,Somewhat prepared,I completely understand,I do not understand,。,1009951483.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,1.0
70,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-05 00:39:09 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,I prefer the scheduling of the lectures in another section(s),I was working on assignments and/or projects for another course,"Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,No,I am starting to fall behind,stressed,if else,Somewhat prepared,I somewhat understand,I somewhat understand,I really like my prof !he teaches so well,1008728432.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,stressed,-1.4,1.0
71,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-02-05 00:37:47 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am starting to fall behind,Worried,while loops,Somewhat prepared,I somewhat understand,I do not understand,great lectures,1010087433.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,worried,-1.2,3.0
72,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-05 00:37:41 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am starting to fall behind,nervous ,loops,Somewhat prepared,I somewhat understand,I somewhat understand,you're great,1010580809.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,nervous ,0.0,3.0
73,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-05 00:35:56 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am up-to-date,Challenged,,Somewhat prepared,I completely understand,I somewhat understand,,1010339108.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,challenged,-0.4,3.0
74,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-05 00:35:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0109 (Online)\, Tuesday\, 6 - 8 pm,PRA0104\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am up-to-date,Anxious,,Somewhat prepared,I completely understand,I completely understand,,1009959289.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,anxious,-1.0,3.0
75,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-05 00:34:13 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Less than 2 hour,Yes,I am up-to-date,great,string comparison,Somewhat prepared,I completely understand,I completely understand,.,1009083509.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,great,3.1,2.0
76,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-05 00:28:55 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,nervous ,boolean and while loops,Somewhat prepared,I completely understand,I completely understand,:)),1009931870.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,nervous ,0.0,3.0
77,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-02-05 00:28:17 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,I was studying for a term test for this course,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Good,Boolean,Somewhat prepared,I completely understand,I completely understand,,1009998709.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,good,1.9,3.0
78,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-02-05 00:20:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Coding along with the instructor on my device,"Katia (TUT0104\, Monday\, 10 - 11 am)",,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Nervous,,Somewhat prepared,I somewhat understand,I somewhat understand,,1009842459.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,nervous,-1.1,3.0
79,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241","320276, 320231, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241",2024-02-05 00:09:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Distracted with non-academic activities,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Scared,,Somewhat prepared,I completely understand,I somewhat understand,,1010057714.0,LEC0101,TUT0101,PRA0103,Mechanical,LEC0101,False,False,True,scared,-1.9,3.0
80,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-05 00:06:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,good,I have no problems about this week's topic,Very prepared,I completely understand,I completely understand,,1009920640.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good,1.9,3.0
81,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241","320149, 320231, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241",2024-02-05 00:05:47 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Coding along with the instructor on my device,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)","LEC0103 - Beck Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording","PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I am up-to-date,good,,Very prepared,I somewhat understand,I completely understand,.,1008923097.0,LEC0103,TUT0108,PRA0103,Industrial,False,False,LEC0103,True,good,1.9,3.0
82,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-05 00:05:39 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording","PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,Yes,I am starting to fall behind,Overwhelmed ,none,Somewhat prepared,I somewhat understand,I somewhat understand,none,1009886456.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,overwhelmed ,0.0,3.0
83,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-02-05 00:03:14 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Nervous,def function,Somewhat prepared,I completely understand,I somewhat understand,spend more time on the breakout session and explain the solution more in depth,1010316686.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,nervous,-1.1,3.0
84,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320285, 320111, 320168","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-02-04 23:44:33 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,Confident,I would like to gain more practice with while loops.,Somewhat prepared,I completely understand,I somewhat understand,,1009973370.0,LEC0101,TUT0102,PRA0101,Chemical,LEC0101,False,False,True,confident,2.2,3.0
85,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241","320231, 320111, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241",2024-02-04 23:37:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","I was studying for a term test for this course,I was working on assignments for this course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,Yes,I am starting to fall behind,,,Somewhat prepared,I do not understand,I somewhat understand,,1010461411.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,nan,0.0,3.0
86,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-04 23:34:26 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,good,syntax,Somewhat prepared,I completely understand,I somewhat understand,-,1010479812.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,good,1.9,3.0
87,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-04 23:33:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I am starting to fall behind,difficult,while statements,Somewhat prepared,I somewhat understand,I somewhat understand,none,1010013593.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,difficult,-1.5,3.0
88,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-04 23:27:55 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,,,Somewhat prepared,I completely understand,I somewhat understand,,1010209258.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nan,0.0,3.0
