,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,for_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
182,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-02-18 00:04:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Overwhelmed,"for loops, indexing",I somewhat understand,in-class breakout session seems to be fast,1009796044.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,overwhelmed,0.2,3.0
183,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-02-18 00:02:21 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,confident,,I completely understand,,1010104744.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,False,False,confident,2.2,0.0
184,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-17 23:52:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)","I was studying for a term test for another course,The lecture times make them challenging to regularly attend",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I am up-to-date,enthusiastic,none,I completely understand,I do not have any feedback as of today.,1010410271.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,enthusiastic,2.2,1.0
185,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-02-17 23:43:14 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Yes,I am up-to-date,Hard,String Operation,I somewhat understand,"So far so good, hope the midterm 1 mark is ok.

 ",1009847196.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,hard,-0.4,3.0
186,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241","320111, 320328, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241",2024-02-17 23:35:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Yes,I am starting to fall behind,bombarded,String slicing and indexing,I completely understand,,1010160932.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,bombarded,0.0,3.0
187,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-17 23:23:29 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0101\, Thursday\, 10 - 12 pm",Yes,I am up-to-date,Good,-,I completely understand,-,1009964086.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,good,1.9,3.0
188,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-17 23:21:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)","LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording","PRA0103\, Monday\, 1 - 3 pm",No,I am starting to fall behind,overwhelmed,"for loops, cryptography, file object",I somewhat understand,More time spent in tut going through difficult problems step by step and the thought process behind it.,1010281455.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,overwhelmed,0.2,3.0
189,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-17 23:09:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Worried ,While Loop ,I somewhat understand,I think that I don't have any feedback regarding APS106 because it is already a perfect course for me. ,1010619369.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,worried ,0.0,2.0
190,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-02-17 23:07:40 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Worried,For loops,I somewhat understand,,1009842495.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,worried,-1.2,3.0
191,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-17 22:29:12 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Anticipated,Im up to date,I completely understand,,1010007635.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,anticipated,0.0,3.0
192,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-02-17 22:28:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Okay,,I completely understand,The design problem on Friday went too fast,1010210521.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,okay,0.9,3.0
193,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-17 22:21:18 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Yes,I am up-to-date,Ready,,I completely understand,,1010389786.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,ready,1.5,3.0
194,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-17 22:08:15 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",No,I am up-to-date,good,,I completely understand,,1010130895.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,1.0
195,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-17 22:04:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,Other,"Following the lecture by looking at the content and listening to the instructor,I was studying for a term test for another course,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,good,none,I completely understand,,1010287752.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,good,1.9,2.0
196,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0101-20241","320149, 320270, 320276","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0101-20241",2024-02-17 22:02:27 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,The lecture times make them challenging to regularly attend,The lecture room is not conducive to learning","I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0109 Online\, Thursday\, 5 - 6 pm),Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",Yes,I have fallen behind,Hard,Everything ,I do not understand,Too fast paced ,,,,,,LEC0101,False,False,False,hard,-0.4,2.0
197,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241","320111, 320231, 320328","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241",2024-02-17 21:43:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Trying to solve the breakout problems,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,good,,I completely understand,,1009794064.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,3.0
198,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-02-17 21:41:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,goofy,understanding nested for loops,I completely understand,,1009867994.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,goofy,0.0,2.0
199,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-02-17 21:32:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",,"I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Slightly Nervous,Open and close file,I somewhat understand,More breakout problems that are challenging please?,1009807951.0,LEC0102,TUT0105,PRA0105,Mechanical,LEC0101,LEC0102,False,True,slightly nervous,-1.1,5.0
200,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-02-17 21:31:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,good,strings,I completely understand,it’s good,1010336904.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,good,1.9,3.0
201,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-17 21:16:00 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",No,I am starting to fall behind,Fine,,I completely understand,,1010544234.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,fine,0.8,3.0
202,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320168, 320299, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-02-17 21:11:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was studying for a term test for this course,I was working on assignments for this course,The lecture times make them challenging to regularly attend",,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",No,I am starting to fall behind,Okay ,while loop,I somewhat understand,,1009818707.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,okay ,0.0,2.0
203,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320262, 320307, 320129","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-02-17 21:09:06 UTC,I did not attend any lectures this week,I was studying for a term test for another course,Other,Other,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Yes,I am starting to fall behind,Hopeful ,For loops ,I somewhat understand,It's been going well. ,1010161575.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,False,False,hopeful ,0.0,0.0
204,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-02-17 20:58:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Adapting,,I completely understand,The lectures continue to be fantastic and the professors do a great job of guiding students during breakout sessions without just giving away the answers. My mind feels stimulated during these classes and I always leave the lecture hall curious about the applications of what I have learned. ,1010212789.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,adapting,0.0,3.0
205,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-17 20:48:51 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",No,I am up-to-date,Excited (I was told in class on Friday that we would be getting to more challenging topics and I am excited to further expand my Python knowledge by practicing these challenging topics),,I completely understand,,1009974244.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,excited  i was told in class on friday that we would be getting to more challenging topics and i am excited to further expand my python knowledge by practicing these challenging topics ,5.3,3.0
206,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-17 20:32:36 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments for this course,Other,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Okay,,I somewhat understand,,1010154155.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,okay,0.9,2.0
207,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-02-17 20:21:27 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Content.,None.,I completely understand,None.,1010220789.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,content ,0.0,3.0
208,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-17 20:20:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0101\, Thursday\, 10 - 12 pm",No,I am up-to-date,Unmotivated,,I completely understand,,1010672835.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,unmotivated,-1.4,3.0
209,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-17 20:20:10 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I have fallen behind,behind,loops,I somewhat understand,,1010580809.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,behind,0.0,3.0
210,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-02-17 20:12:34 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,"I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)",I was studying for a term test for another course,"Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Yes,I am starting to fall behind,Intimidating,Infinite loops ,I somewhat understand,classes could be more engaging and practice problems could be given more relevant to the midterm style questions,1009927581.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,intimidating,-1.9,2.0
211,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-17 20:06:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),I did not attend any lectures this week",I was studying for a term test for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Confident ,nested while loops ,I completely understand,,1010066358.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,confident ,0.0,2.0
212,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241","320149, 320270, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241",2024-02-17 19:57:46 UTC,I did not attend any lectures this week,I was studying for a term test for another course,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Coding,,I somewhat understand,,1009947872.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,coding,0.0,0.0
