,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,feedback,pandas_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
87,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-04-08 00:01:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Okay,,,"I feel like the lectures didn’t explain the concept well enough. It was very fast paced compared to what was done previously. Furthermore, I asked questions about material on piazza and received no response.",1010161110.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,okay,0.9,2.0
88,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-04-07 23:56:51 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",,,"Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,Overwhelmed ,everything is clear so far ,Please upload more practice problems ,I feel it is a good addition ,1010400193.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,overwhelmed ,0.0,2.0
89,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-04-07 23:51:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Coding along with the instructor on my device,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,,,,,1010180091.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,nan,0.0,3.0
90,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-04-07 23:50:54 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,difficult,class,,it was interesting,1009149743.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,difficult,-1.5,2.0
91,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-04-07 23:50:43 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,No,I am up-to-date,good,,,,1010162379.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
92,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-04-07 23:50:25 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,No,I am starting to fall behind,:(,"pandas, writing to csv file",ur doin good :),not getting it yet,1010452706.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,  ,,1.0
93,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-04-07 23:47:40 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend","I prefer the teaching style in another section(s),I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)",I was working on assignments and/or projects for another course,"Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,Challenging,Pandas,More problems with worked solutions and concept notes,a bit challenging to understand but useful,1009927581.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,challenging,0.6,2.0
94,"APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320294, 320111, 320231","APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-04-07 23:45:49 UTC,I did not attend any lectures this week,"The lectures are not an effective learning tool for me,The lecture times make them challenging to regularly attend",,,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,content,none,I have no feedback as of today.,I do not have any particular feedback.,1010410271.0,LEC0101,TUT0103,PRA0103,Civil,False,False,False,False,content,0.0,0.0
95,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-04-07 23:37:29 UTC,I did not attend any lectures this week,"I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend",,,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,excited,"files, csv files",,"This material seems very useful, especially in real-world applications and I hope to learn more about it.",1010256820.0,LEC0101,TUT0104,PRA0104,Civil,False,False,False,False,excited,1.4,0.0
96,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-04-07 23:33:33 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,,,I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,behind,files,,helpful,1009889845.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,behind,0.0,0.0
97,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-04-07 23:10:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Caught-up,,,"Going to take time to get used to, but doesn't seem too confusing overall.",1010242239.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,caught up,0.0,2.0
98,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-04-07 22:49:53 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Curious,loc and iloc functions,Great class,Fabulous addition,1009978437.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,curious,1.3,3.0
99,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-04-07 22:40:12 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,Behind,,,"n/A

 ",1010083035.0,LEC0101,TUT0104,PRA0104,Mineral,False,False,False,False,behind,0.0,0.0
100,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-04-07 22:19:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,Yes,I am starting to fall behind,Bad.,Everything.,,I need to improve on their implementation.,1009817030.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,bad ,-2.5,3.0
101,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-04-07 22:17:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Hopeful,"Pandas, Classes ",,,1010209258.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,hopeful,2.3,3.0
102,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0102-20241","320111, 320168, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0102-20241",2024-04-07 22:09:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,Other,Coding along with the instructor on my device,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Less than 2 hour,No,I am up-to-date,Hard,Pandas ,"It is really unfamiliar for me to learn pandas, so maybe talk about that more specific?",It is heard to underpants and learn the new code in pandas,1010066312.0,LEC0101,TUT0102,PRA0101,Chemical,LEC0101,False,False,True,hard,-0.4,2.0
103,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-04-07 22:06:25 UTC,I did not attend any lectures this week,I was working on assignments and/or projects for another course,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Great,I’m good with everything ,All good ,It’s cool,1010077809.0,LEC0101,TUT0102,PRA0102,Chemical,False,False,False,False,great,3.1,0.0
104,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241","320231, 320111, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241",2024-04-07 21:58:56 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,No,I am starting to fall behind,solid,pandas ,im still really liking it ,could you go over it once more ,1010461411.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,solid,0.6,3.0
105,"APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0103-20241","320270, 320294, 320149","APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0103-20241",2024-04-07 21:54:15 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments for this course,Other,Trying to solve the breakout problems,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0103 - Beck Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",2-4 hours,Yes,I am starting to fall behind,good,class,Hard but fun. ,Really helped me. ,1009829447.0,LEC0103,TUT0103,PRA0108,Track-One,False,False,LEC0103,True,good,1.9,2.0
106,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-04-07 21:20:51 UTC,I did not attend any lectures this week,"I was working on assignments for this course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,Tired,Classes,,,1010087433.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,tired,-1.9,0.0
107,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-04-07 21:16:57 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)","The lectures are not an effective learning tool for me,I was studying for a term test for another course,The lecture room is not conducive to learning,Other",Other,"Distracted with non-academic activities,I was studying for a term test for another course,I was working on assignments and/or projects for another course,Other","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm,PRA0106\, Friday\, 3 - 5 pm",4-8 hours,No,I am starting to fall behind,worried,pandas (the software),i wish we could give our exams on computers rather than paper TT. also i don't get pandas (the software),"I have no idea what it is. I get that we wanna make coding more concise but as a beginner, I think its a little too high level for me right now TT",1010376102.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,worried,-1.2,2.0
108,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-04-07 21:14:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,smart,class,helpful,it is awesome,1010013593.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,smart,1.7,3.0
109,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320253, 320315, 320129","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-04-07 21:04:31 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Good,Good,Goof,Good,1009560707.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,good,1.9,1.0
110,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-04-07 21:03:14 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,I prefer the scheduling of the lectures in another section(s),Coding along with the instructor on my device,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,GOOD,CLASS,GOOD,IS VERY USEFUL,1009887990.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,good,1.9,3.0
111,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-04-07 20:57:54 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,"Confident

 ",,,,1010129941.0,LEC0103,TUT0108,PRA0108,Materials,LEC0101,False,LEC0103,True,"confident

 ",0.0,3.0
112,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-04-07 20:42:44 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,good,none,none,none,1010184523.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,good,1.9,0.0
113,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-04-07 20:41:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course",I prefer the room of the lectures in another section(s),"Coding along with the instructor on my device,I was studying for a term test for this course,I was working on assignments for this course","Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0104\, Thursday\, 12 - 2 pm,PRA0110 (Online)\, Friday\, 6 - 8 pm",2-4 hours,Yes,I have fallen behind,Fallen - behind ,Classes ,I really love this class! I would love to start preparing for final and would appreciate any help or navigation in terms of where to focus our effort. ,"It feels a little bit complicated for me, but it is very interesting",1008782783.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,fallen   behind ,-1.5,2.0
114,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-04-07 20:32:59 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,good,pandas,good examples in class,interesting and seems useful,1009982994.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,good,1.9,3.0
115,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241","320111, 320239, 320299","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241",2024-04-07 20:31:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Distracted with non-academic activities,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,4-8 hours,No,I am up-to-date,smart,OOP,fun activities,I didn’t realize how many resources were available to Python.,1009998709.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,smart,1.7,1.0
116,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-04-07 20:20:00 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for this course,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0103 - Beck Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,Yes,I have fallen behind,,,,,1009961187.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,nan,0.0,2.0
117,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-04-07 20:13:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","The lectures are not an effective learning tool for me,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments and/or projects for another course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,Good,OOP,,,1010672835.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,good,1.9,2.0
118,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-04-07 20:02:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Good,,,,1010207107.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,good,1.9,1.0
119,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-04-07 19:46:57 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Less than 2 hour,Yes,I am starting to fall behind,scared,pandas,none,it is a little confusing ,1009525453.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,scared,-1.9,1.0
